Jun 7, 2018 10:57:26 AM INFO: Could not connect to the repository OT4I GitHub Pattern Repository located at 'https://ot4i.github.io/ace-patterns/en/repo_metadata.json'.
Jun 7, 2018 10:57:26 AM INFO: Could not connect to the repository Experimental OT4I GitHub Pattern Repository located at 'https://ot4i.github.io/ace-patterns/en/experimental/repo_metadata.json'.
Jun 11, 2018 9:11:43 AM INFO: Could not connect to the repository OT4I GitHub Pattern Repository located at 'https://ot4i.github.io/ace-patterns/en/repo_metadata.json'.
Jun 11, 2018 9:11:43 AM INFO: Could not connect to the repository Experimental OT4I GitHub Pattern Repository located at 'https://ot4i.github.io/ace-patterns/en/experimental/repo_metadata.json'.
Jun 11, 2018 9:14:45 AM INFO: Clean up...
Jun 11, 2018 9:14:45 AM INFO: Clean up...
Jun 11, 2018 9:14:45 AM INFO: Removing temporary repository C:\Users\alejandy\AppData\Local\Temp\patternTemp
Jun 11, 2018 9:14:45 AM INFO: Removing temporary repository C:\Users\alejandy\AppData\Local\Temp\patternTemp
Jun 11, 2018 9:14:45 AM INFO: Deleting temporary repository location C:\Users\alejandy\AppData\Local\Temp\patternTemp
Jun 11, 2018 9:14:45 AM INFO: Deleting temporary repository location C:\Users\alejandy\AppData\Local\Temp\patternTemp
Jun 11, 2018 9:14:45 AM INFO: Download and extract...
Jun 11, 2018 9:14:45 AM INFO: Download and extract...
Jun 11, 2018 9:14:45 AM INFO: Downloading and extracting the remote pattern archive https://github.com/ot4i/appconnectrestrequest-pattern/releases/download/V1.0/AppConnectRESTRequestPattern.patternzip
Jun 11, 2018 9:14:45 AM INFO: Downloading and extracting the remote pattern archive https://github.com/ot4i/appconnectrestrequest-pattern/releases/download/V1.0/AppConnectRESTRequestPattern.patternzip
Jun 11, 2018 9:14:47 AM INFO: Set up repository...
Jun 11, 2018 9:14:47 AM INFO: Set up repository...
Jun 11, 2018 9:14:47 AM INFO: Adding temporary repository file:/C:/Users/alejandy/AppData/Local/Temp/patternTemp
Jun 11, 2018 9:14:47 AM INFO: Adding temporary repository file:/C:/Users/alejandy/AppData/Local/Temp/patternTemp
Jun 11, 2018 9:14:47 AM INFO: Install pattern...
Jun 11, 2018 9:14:47 AM INFO: Install pattern...
Jun 11, 2018 9:14:47 AM INFO: Loading temporary repository file:/C:/Users/alejandy/AppData/Local/Temp/patternTemp
Jun 11, 2018 9:14:47 AM INFO: Loading temporary repository file:/C:/Users/alejandy/AppData/Local/Temp/patternTemp
Jun 11, 2018 9:14:47 AM INFO: Resolving dependencies...
Jun 11, 2018 9:14:47 AM INFO: Resolving dependencies...
Jun 11, 2018 9:14:49 AM INFO: Wait while the pattern is being installed. It may take a few minutes...
Jun 11, 2018 9:14:49 AM INFO: Wait while the pattern is being installed. It may take a few minutes...
